# t (s)	mx ()	my ()	mz ()
1.620022997358967e-09	0.63458365	-0.15581547	0.014170768
1.6300693881234644e-09	0.64929944	0.06872076	0.014527595
1.6400617485038023e-09	0.5878023	0.28360835	0.015353213
1.6500626335634222e-09	0.4576813	0.46522987	0.01630374
1.660114439877743e-09	0.27315736	0.5928803	0.016984113
1.6702947761340674e-09	0.053503487	0.65085423	0.017122934
1.6803571896508302e-09	-0.17032263	0.6307897	0.016714137
1.6903820075855007e-09	-0.3737115	0.5364554	0.015999516
1.7003492928016553e-09	-0.5327949	0.37979928	0.015351661
1.7103975679203066e-09	-0.63061154	0.17682062	0.015098409
1.7203361993077072e-09	-0.6541528	-0.04492009	0.015374907
1.7303963000195548e-09	-0.6011529	-0.2642734	0.016073825
1.7402080851516435e-09	-0.48107675	-0.44876328	0.016876351
1.7500280473912566e-09	-0.30674288	-0.58358264	0.01746917
1.760158651025578e-09	-0.09056309	-0.65451914	0.017614488
1.7702143540339394e-09	0.13555883	-0.6481366	0.017268037
1.7800581769666353e-09	0.34256747	-0.5682153	0.016646385
1.79010054877578e-09	0.5147709	-0.42069992	0.01604387
1.800031758011438e-09	0.6266265	-0.22597559	0.01578475
1.8100295118195257e-09	0.6675124	-0.0034825902	0.016023785
1.820206623909552e-09	0.6305273	0.22381882	0.016710516
1.8300750086660836e-09	0.52315956	0.41966715	0.017534986
1.8403346548996418e-09	0.34991288	0.57408696	0.01819669
1.8502859057288635e-09	0.1412399	0.6587248	0.018372335
1.8602707125267978e-09	-0.08455521	0.6694238	0.018025585
1.870167146901823e-09	-0.29947236	0.60539234	0.017351417
1.8800472045760805e-09	-0.48127827	0.47437733	0.016693776
1.8903746191200286e-09	-0.6144275	0.28162944	0.01638901
1.900374198528695e-09	-0.6730136	0.062484525	0.016635785
1.9100156909181937e-09	-0.6578276	-0.15558743	0.017302206
1.920371700231367e-09	-0.5653503	-0.3709865	0.018206203
1.930400683031758e-09	-0.4110074	-0.5373186	0.018916162
1.9400100159744882e-09	-0.21940668	-0.64006627	0.019169524
1.9500518120039367e-09	0.004743231	-0.6764754	0.018904086
1.9603139620890315e-09	0.23298807	-0.6346108	0.018262414
1.970184895786051e-09	0.4266477	-0.5234168	0.017628409
1.980154460875793e-09	0.57437915	-0.35313633	0.0172866
1.990070919659003e-09	0.6572595	-0.14508161	0.017417872
2e-09	0.6672829	0.07845708	0.017983105
