
===== RESTART 0 =====
dbs_r0_start | Fitness = 2.2660e-04
dbs_r1_s4_p1_1 | Fitness = 0.0000e+00
dbs_r1_s4_p2_-1 | Fitness = 0.0000e+00
dbs_r1_s4_p2_1 | Fitness = 1.0312e-04
dbs_r1_s4_p3_-1 | Fitness = 2.5564e-04
dbs_r1_s4_p3_1 | Fitness = 0.0000e+00
dbs_r1_s4_p4_-1 | Fitness = 0.0000e+00
dbs_r1_s4_p4_1 | Fitness = 0.0000e+00
dbs_r1_s4_p5_-1 | Fitness = 0.0000e+00
dbs_r1_s4_p5_1 | Fitness = 2.4366e-04
dbs_r1_s4_p6_-1 | Fitness = 0.0000e+00
dbs_r1_s4_p6_1 | Fitness = 0.0000e+00
dbs_r1_s4_p7_-1 | Fitness = 8.0892e-06
dbs_r1_s4_p7_1 | Fitness = 0.0000e+00
dbs_r1_s4_p8_-1 | Fitness = 0.0000e+00
dbs_r1_s4_p8_1 | Fitness = 0.0000e+00
dbs_r1_s4_p9_-1 | Fitness = 0.0000e+00
dbs_r1_s4_p9_1 | Fitness = 4.5613e-04
dbs_r1_s4_p10_-1 | Fitness = 0.0000e+00
dbs_r1_s4_p10_1 | Fitness = 2.7532e-04
dbs_r1_s4_p11_-1 | Fitness = 0.0000e+00
dbs_r1_s4_p11_1 | Fitness = 8.1711e-04
dbs_r1_s5_p0_-1 | Fitness = 1.1572e-04
dbs_r1_s5_p0_1 | Fitness = 5.5723e-04
dbs_r1_s5_p1_-1 | Fitness = 2.1482e-04
dbs_r1_s5_p1_1 | Fitness = 3.1831e-04
dbs_r1_s5_p2_-1 | Fitness = 3.8615e-04
dbs_r1_s5_p2_1 | Fitness = 4.7176e-04
dbs_r1_s5_p3_-1 | Fitness = 0.0000e+00
dbs_r1_s5_p3_1 | Fitness = 0.0000e+00
dbs_r1_s5_p4_-1 | Fitness = 2.0775e-04
dbs_r1_s5_p4_1 | Fitness = 0.0000e+00
dbs_r1_s5_p5_-1 | Fitness = 3.2622e-04
dbs_r1_s5_p5_1 | Fitness = 0.0000e+00
dbs_r1_s5_p6_-1 | Fitness = 1.9152e-04
dbs_r1_s5_p6_1 | Fitness = 8.3753e-04
dbs_r1_s6_p0_-1 | Fitness = 0.0000e+00
dbs_r1_s6_p0_1 | Fitness = 8.3753e-04
dbs_r1_s6_p1_-1 | Fitness = 3.0316e-04
dbs_r1_s6_p1_1 | Fitness = 2.0325e-04
dbs_r1_s6_p2_-1 | Fitness = 0.0000e+00
dbs_r1_s6_p2_1 | Fitness = 0.0000e+00
dbs_r1_s6_p3_-1 | Fitness = 3.1132e-04
dbs_r1_s6_p3_1 | Fitness = 0.0000e+00
dbs_r1_s6_p4_-1 | Fitness = 0.0000e+00
dbs_r1_s6_p4_1 | Fitness = 2.4176e-05
dbs_r1_s6_p5_-1 | Fitness = 0.0000e+00
dbs_r1_s6_p5_1 | Fitness = 0.0000e+00
dbs_r1_s6_p6_-1 | Fitness = 5.7267e-04
dbs_r1_s6_p6_1 | Fitness = 2.9088e-04
dbs_r1_s6_p7_-1 | Fitness = 6.8318e-04
dbs_r1_s6_p7_1 | Fitness = 9.9903e-04
dbs_r1_s7_p0_-1 | Fitness = 1.0101e-05
dbs_r1_s7_p0_1 | Fitness = 9.9903e-04
dbs_r1_s7_p1_-1 | Fitness = 6.2724e-04
dbs_r1_s7_p1_1 | Fitness = 1.8637e-04
dbs_r1_s7_p2_-1 | Fitness = 2.2858e-05
dbs_r1_s7_p2_1 | Fitness = 0.0000e+00
dbs_r1_s7_p3_-1 | Fitness = 1.0577e-04
